freq,c_dest,purpose,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,CH,TOTAL,N_GE1,NR,UK	775317 	850439 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CN,TOTAL,N_GE1,NR,AL	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,CN,TOTAL,N_GE1,NR,AT	: u	54512 u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u
A,CN,TOTAL,N_GE1,NR,BE	: u	41616 u	35945 u	: u	: u	33882 bu	44164 u	53076 u	: u	: u	: u	: u
A,CN,TOTAL,N_GE1,NR,BG	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,CN,TOTAL,N_GE1,NR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,CN,TOTAL,N_GE1,NR,CY	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u
A,CN,TOTAL,N_GE1,NR,CZ	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u
A,CN,TOTAL,N_GE1,NR,DE	759893 u	825068 u	: u	: u	858330 u	: u	526453 u	545035 u	: u	: 	: u	: u
A,CN,TOTAL,N_GE1,NR,DK	: u	: u	: u	76544 u	: u	: u	: u	: u	: 	: 	: 	: 
A,CN,TOTAL,N_GE1,NR,EA20	1267839 	1356898 	826846 	908718 	1437777 	1083553 	1243982 	1125799 	103812 	: u	: u	403028 
A,CN,TOTAL,N_GE1,NR,EE	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,CN,TOTAL,N_GE1,NR,EL	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u
A,CN,TOTAL,N_GE1,NR,ES	48992 u	29454 u	41406 u	62181 bu	84159 u	90263 u	91993 u	53334 u	: u	: u	: 	: u
A,CN,TOTAL,N_GE1,NR,EU27_2020	1398131 e	1468924 e	937295 	1087052 	1632733 	1284419 	1571897 	1381253 	116466 	27065 	144956 	422705 e
A,CN,TOTAL,N_GE1,NR,FI	89054 bu	: u	: u	: u	72843 u	: u	: u	: u	: u	: u	: u	: u
A,CN,TOTAL,N_GE1,NR,FR	161489 u	189574 u	152732 u	163395 u	114172 u	143617 u	184382 u	107589 u	: u	: 	: u	: u
A,CN,TOTAL,N_GE1,NR,HR	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,CN,TOTAL,N_GE1,NR,HU	9373 	11683 	13334 	14547 	13016 	21762 	: u	15539 	: u	3856 	: u	: u
A,CN,TOTAL,N_GE1,NR,IE	22592 u	20590 u	25897 u	: u	: u	25633 u	: u	: u	: u	: 	: 	: u
A,CN,TOTAL,N_GE1,NR,IT	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u
A,CN,TOTAL,N_GE1,NR,LT	: u	: u	: u	5900 u	14664 	11303 	9271 u	6967 u	: u	: u	: u	: u
A,CN,TOTAL,N_GE1,NR,LU	: u	8291 u	: u	: u	: u	: u	10491 u	20503 u	: u	: u	: u	: u
A,CN,TOTAL,N_GE1,NR,LV	: u	: u	: u	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,CN,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,CN,TOTAL,N_GE1,NR,MT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u
A,CN,TOTAL,N_GE1,NR,NL	61033 bu	61558 u	: u	62049 u	: u	79483 u	79864 u	104882 u	: u	: 	: u	62852 
A,CN,TOTAL,N_GE1,NR,NO	: 	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 
A,CN,TOTAL,N_GE1,NR,PL	: u	: u	19816 bu	26602 u	30879 	26266 	30242 u	28743 u	: u	: u	: u	9879 
A,CN,TOTAL,N_GE1,NR,PT	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u
A,CN,TOTAL,N_GE1,NR,RO	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,CN,TOTAL,N_GE1,NR,SE	: 	: 	: u	: u	: u	113453 u	256873 u	164386 u	: u	: 	: 	: 
A,CN,TOTAL,N_GE1,NR,SI	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,CN,TOTAL,N_GE1,NR,SK	: u	: 	: 	: u	: 	: u	: u	: u	: u	: 	: 	: 
A,CN,TOTAL,N_GE1,NR,UK	480742 	417416 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CY,TOTAL,N_GE1,NR,AT	: u	: u	: u	: u	46590 u	53519 u	56476 u	: u	: u	: u	49685 	54809 
A,CY,TOTAL,N_GE1,NR,BE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,CY,TOTAL,N_GE1,NR,BG	: u	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u
A,CY,TOTAL,N_GE1,NR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,CY,TOTAL,N_GE1,NR,CY	1369788 b	1303855 	1297214 	1303055 	1374634 	1393032 	1566420 	1636627 	1698743 	1870923 	1689154 	1564359 
A,CY,TOTAL,N_GE1,NR,CZ	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,CY,TOTAL,N_GE1,NR,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,CY,TOTAL,N_GE1,NR,DK	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,CY,TOTAL,N_GE1,NR,EA20	1899202 	1687960 	1710899 	1633488 	1835930 	2114289 	2168657 	2280321 	1824504 	2236205 	2542406 	2172907 
A,CY,TOTAL,N_GE1,NR,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,CY,TOTAL,N_GE1,NR,EL	30939 u	29041 u	33916 	44053 	32247 	30415 	55450 	58611 	15836 	33539 	40992 	35734 
A,CY,TOTAL,N_GE1,NR,ES	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,CY,TOTAL,N_GE1,NR,EU27_2020	2039202 e	1869258 e	1898310 	1819342 	2004611 	2369117 	2391650 	2584541 	1906273 	2342579 	2886348 	2550708 e
A,CY,TOTAL,N_GE1,NR,FI	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,CY,TOTAL,N_GE1,NR,FR	: u	: u	: u	: u	73059 u	: u	: u	65665 u	: u	: u	: u	: u
A,CY,TOTAL,N_GE1,NR,HR	: 	: u	: u	: 	: u	: u	: u	: 	: 	: u	: u	: u
A,CY,TOTAL,N_GE1,NR,HU	12857 	3643 u	4723 u	: u	: 	: u	: u	63839 	7996 	36830 	43135 	39410 
A,CY,TOTAL,N_GE1,NR,IE	: u	: u	: u	: u	: u	: u	: u	22155 u	: u	: u	: u	: u
A,CY,TOTAL,N_GE1,NR,IT	: u	: u	: u	: u	: 	: 	: u	: u	: 	: 	: u	: 
A,CY,TOTAL,N_GE1,NR,LT	6919 	16222 	12868 	26925 	25499 	24093 	20553 	22116 	10623 	7122 	8579 	8389 
A,CY,TOTAL,N_GE1,NR,LU	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,CY,TOTAL,N_GE1,NR,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,CY,TOTAL,N_GE1,NR,MT	3548 	2783 u	: u	: u	: u	: u	: u	6110 u	: u	: u	8905 	10819 
A,CY,TOTAL,N_GE1,NR,NL	: u	46904 u	: u	: u	: u	45645 u	63908 u	47499 u	: u	30021 	43152 	: u
A,CY,TOTAL,N_GE1,NR,NO	: 	: u	: u	: u	: u	: u	: u	: 	: 	: u	: 	: 
A,CY,TOTAL,N_GE1,NR,PL	: u	: u	29474 bu	36666 	37995 	44371 	48071 	52126 	25618 	29688 	56792 	78064 
A,CY,TOTAL,N_GE1,NR,PT	: 	: u	: 	: 	: u	: u	: 	: u	: 	: u	: u	: u
A,CY,TOTAL,N_GE1,NR,RO	: u	: 	: u	: u	: u	: u	: u	: u	: 	: 	: u	: 
A,CY,TOTAL,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,CY,TOTAL,N_GE1,NR,SE	: 	: 	: u	: u	74537 u	145626 u	102816 u	92039 u	: u	: u	: u	: 
A,CY,TOTAL,N_GE1,NR,SI	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,CY,TOTAL,N_GE1,NR,SK	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	54573 
A,CY,TOTAL,N_GE1,NR,UK	783216 	640961 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CZ,TOTAL,N_GE1,NR,AL	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,CZ,TOTAL,N_GE1,NR,AT	290107 	304792 	266071 	258792 	337881 	380153 	323321 	293836 	107370 	117389 	449039 	385026 
A,CZ,TOTAL,N_GE1,NR,BE	: u	88264 	60514 	67032 	82173 u	77455 b	84163 u	97816 u	: u	: u	76192 	58068 
A,CZ,TOTAL,N_GE1,NR,BG	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u
A,CZ,TOTAL,N_GE1,NR,CH	: u	: u	88806 u	: u	: u	: u	: u	116495 u	: u	: 	: u	: 
A,CZ,TOTAL,N_GE1,NR,CY	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	23823 
A,CZ,TOTAL,N_GE1,NR,CZ	26880529 	25498631 	27042044 	23963745 	27039686 	29039480 	27179148 	27477216 	20691700 	22722445 	26148995 	20300188 
A,CZ,TOTAL,N_GE1,NR,DE	2447165 	1708549 	1632543 	2199242 	1854060 	2477260 	2630516 	2728299 	831259 	868133 	1357298 	2245227 
A,CZ,TOTAL,N_GE1,NR,DK	101682 u	: u	: u	121410 u	: u	: u	: u	128930 u	: u	: u	: u	: 
A,CZ,TOTAL,N_GE1,NR,EA20	4171377 	3383536 	3169191 	4001318 	4052996 	5259973 	5607250 	6176866 	1706969 	1708530 	3680428 	4866588 
A,CZ,TOTAL,N_GE1,NR,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,CZ,TOTAL,N_GE1,NR,EL	: u	: u	15028 u	: u	: u	13496 u	18111 u	: u	: u	: 	: u	: u
A,CZ,TOTAL,N_GE1,NR,ES	99393 	76212 	59700 	104344 bu	125145 	153633 	176097 	217667 	: u	: u	159720 	120422 
A,CZ,TOTAL,N_GE1,NR,EU27_2020	32151515 e	30021541 e	31384010 	29284615 	32443941 	36003970 	34354616 	35221245 	23012616 	25047692 	30983903 	26588101 e
A,CZ,TOTAL,N_GE1,NR,FI	: u	: u	: u	108821 u	120720 u	146429 u	99805 u	100820 u	: u	: u	: u	: u
A,CZ,TOTAL,N_GE1,NR,FR	216850 	180875 	214898 	173510 	202444 	327254 	294936 	281892 	: u	: u	209616 	280152 
A,CZ,TOTAL,N_GE1,NR,HR	: u	67289 u	95636 u	77330 u	63294 u	65749 u	31355 u	52836 u	: u	: u	: u	46043 
A,CZ,TOTAL,N_GE1,NR,HU	317182 	393854 	515459 	468142 	539490 	563654 	627776 	454348 	151012 	151445 	297424 	393867 
A,CZ,TOTAL,N_GE1,NR,IE	: u	31385 u	38018 u	35816 u	41190 u	57359 u	49689 u	48773 u	12990 	: u	: u	: u
A,CZ,TOTAL,N_GE1,NR,IT	257500 u	210709 u	: u	: u	: u	: u	: u	303657 u	: u	: u	: u	: u
A,CZ,TOTAL,N_GE1,NR,LT	10929 	12610 	14468 	8990 	11611 	15478 	14157 	16699 	5895 	5317 	26443 	22852 
A,CZ,TOTAL,N_GE1,NR,LU	6831 u	: u	10699 u	: u	7307 u	14553 u	15779 u	17266 u	: u	: u	14161 	13756 
A,CZ,TOTAL,N_GE1,NR,LV	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	24336 	26568 
A,CZ,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,CZ,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,CZ,TOTAL,N_GE1,NR,MT	1950 u	2320 u	: u	: u	: u	6942 u	5957 u	: u	: u	: u	: u	: u
A,CZ,TOTAL,N_GE1,NR,NL	152549 b	227532 	153492 	182405 	218180 	209525 	235513 	291255 	66968 	69661 	282784 	319405 
A,CZ,TOTAL,N_GE1,NR,NO	: 	74300 u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 
A,CZ,TOTAL,N_GE1,NR,PL	568116 	542207 	495055 b	584704 	654987 	725346 	761949 	790306 	409547 	383345 	628343 	784169 
A,CZ,TOTAL,N_GE1,NR,PT	: u	: u	: u	23435 u	: u	: u	: u	30915 u	: u	: u	15574 	28850 
A,CZ,TOTAL,N_GE1,NR,RO	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,CZ,TOTAL,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,CZ,TOTAL,N_GE1,NR,SE	: 	: 	107418 u	133731 u	101536 u	345244 u	113795 u	186963 u	: u	: u	: u	: 
A,CZ,TOTAL,N_GE1,NR,SI	32014 u	26760 u	33478 u	30693 u	52201 u	40609 u	27726 u	38586 u	: u	: u	38729 	37207 
A,CZ,TOTAL,N_GE1,NR,SK	474881 	343457 b	439686 	588590 	736013 	944382 	1343160 	1594506 	399894 	449587 	828539 	1036973 
A,CZ,TOTAL,N_GE1,NR,UK	334147 	620254 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE,TOTAL,N_GE1,NR,AL	: 	: 	: 	: 	: 	38492 	: 	47263 	11782 	: 	: 	: 
A,DE,TOTAL,N_GE1,NR,AT	2368811 	2329530 	2346752 	2296833 	2323781 	2189432 	2043545 	2558999 	1153536 	1627555 	2379025 	2903500 
A,DE,TOTAL,N_GE1,NR,BE	817095 	783861 	689730 	947274 	1153497 	807846 b	807975 	1099593 	386008 	436309 	827042 	948724 
A,DE,TOTAL,N_GE1,NR,BG	43164 bu	39152 u	38183 u	40313 u	35870 u	79354 u	46065 u	76083 	: u	: u	58649 	80163 
A,DE,TOTAL,N_GE1,NR,CH	2856901 	2773118 	2498006 	2685346 	2873549 	2545280 	2780926 	2594734 	1332667 	1010923 	1902617 	: 
A,DE,TOTAL,N_GE1,NR,CY	36993 b	32393 u	37675 u	33635 u	35610 u	43637 u	39894 u	48970 u	: u	: u	: u	56642 
A,DE,TOTAL,N_GE1,NR,CZ	449457 	361508 	285327 	399633 	435505 	329326 	380216 	350146 	164199 	127493 	268583 	395170 
A,DE,TOTAL,N_GE1,NR,DE	164795239 	161123466 	153901939 	164138592 	164682477 	151175053 	159337582 	160984920 	109295843 	129490949 	135068582 	148587286 
A,DE,TOTAL,N_GE1,NR,DK	1252338 	1381763 b	1566666 	1662829 	1400375 	1131436 	1459998 	1938149 	493557 	475938 	802365 	: 
A,DE,TOTAL,N_GE1,NR,EA20	176434906 	172368060 	166334535 	175928158 	176846043 	163763219 	172008104 	175037334 	114902008 	135917928 	146731021 	162858987 
A,DE,TOTAL,N_GE1,NR,EE	: u	47560 	61821 	45768 u	56963 	73070 	105274 	88581 	: u	: u	48418 	69427 
A,DE,TOTAL,N_GE1,NR,EL	51776 	61876 	49820 	57300 	59540 	57207 	61402 	64878 	34627 	32768 	71363 	79746 
A,DE,TOTAL,N_GE1,NR,ES	620283 	602983 	650558 	891040 b	804012 	803045 	947666 	1038628 	216854 	288732 	623573 	698518 
A,DE,TOTAL,N_GE1,NR,EU27_2020	181694165 e	177190108 e	171830823 	181823512 	182695148 	170644074 	178663082 	182366686 	117885361 	139202927 	152162372 	168740450 e
A,DE,TOTAL,N_GE1,NR,FI	486397 b	483415 	421369 	536243 	480025 	526445 	500118 	603215 	77519 	: u	288924 	357210 
A,DE,TOTAL,N_GE1,NR,FR	1713274 	1803689 	2001709 	1686496 	1603669 	1936594 	1939249 	1957066 	1085762 	1055880 	2096324 	2306541 
A,DE,TOTAL,N_GE1,NR,HR	291852 	333229 	308394 	260738 	277689 	210815 	326040 	303240 	85994 	87462 	140960 	244419 
A,DE,TOTAL,N_GE1,NR,HU	617375 	628389 	688255 	800107 	963224 	1024343 	912619 	918686 	349632 	387132 	718159 	812940 
A,DE,TOTAL,N_GE1,NR,IE	150100 	155744 	189627 	177991 	208009 	243909 	318367 	237242 	57714 	: u	240887 	221122 
A,DE,TOTAL,N_GE1,NR,IT	909636 	830785 	1190539 b	730884 u	807608 u	693330 u	827076 	994503 	211171 	254784 	498600 	682441 
A,DE,TOTAL,N_GE1,NR,LT	112013 	121273 	117001 	106242 	109909 	122985 	131622 	146048 	57793 	54177 	120708 	141091 
A,DE,TOTAL,N_GE1,NR,LU	255666 	272028 	332036 	312528 	289118 	326523 	332785 	373276 	200500 	218241 	356628 	417969 
A,DE,TOTAL,N_GE1,NR,LV	134726 	94248 	94904 	71338 u	83984 u	147843 	79511 u	97817 u	47711 	30036 	36993 	106947 
A,DE,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	35733 u	28091 u	: 	: 	: 	: 	: 	: 
A,DE,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	41564 	8413 	18719 	: 	: 
A,DE,TOTAL,N_GE1,NR,MT	16583 	17388 	19272 b	20705 	25488 	27161 	37803 	34003 	8561 	9177 	19525 	31986 
A,DE,TOTAL,N_GE1,NR,NL	3369044 b	3094892 	3368552 	3291408 	3501207 	3831289 	3633607 	3826634 	1803528 	1977364 	3566449 	4647555 
A,DE,TOTAL,N_GE1,NR,NO	: 	458519 	619530 	497878 	488191 	414521 	563013 	: 	: 	187858 	: 	: 
A,DE,TOTAL,N_GE1,NR,PL	2042541 	1577244 	2060810 b	2198727 	2310056 	2356548 	2438093 	2522944 	1603484 	1796789 	2418884 	2579826 
A,DE,TOTAL,N_GE1,NR,PT	53568 u	45714 u	92275 	89248 	78629 	101454 	85479 	130156 	49708 	27938 	84878 	67964 
A,DE,TOTAL,N_GE1,NR,RO	38020 u	33949 u	67980 	61862 	71322 	74143 	98045 	108583 	32729 	46867 	118155 	58652 
A,DE,TOTAL,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	63989 u	: 	: 	: 	: 	: 
A,DE,TOTAL,N_GE1,NR,SE	: 	: 	789068 	731882 	632752 	1885705 	1319943 	1414762 	328006 	442931 	1046556 	: 
A,DE,TOTAL,N_GE1,NR,SI	121118 	90585 	116655 	109302 	102824 	168340 	191351 	140183 	: u	61626 	87497 	133186 
A,DE,TOTAL,N_GE1,NR,SK	: u	: u	: u	: u	: u	277241 u	261758 u	309383 u	: u	: u	130260 	156714 
A,DE,TOTAL,N_GE1,NR,UK	2125475 	2196093 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DK,TOTAL,N_GE1,NR,AT	: u	: u	49004 u	: u	: u	: u	: u	53669 u	: u	: u	: u	75628 
A,DK,TOTAL,N_GE1,NR,BE	: u	53743 u	62746 u	44769 u	48709 u	77924 bu	65198 u	74433 u	: u	: u	82700 	94587 
A,DK,TOTAL,N_GE1,NR,BG	: u	: 	: 	: 	: 	: u	: 	: u	: 	: u	: u	: 
A,DK,TOTAL,N_GE1,NR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,DK,TOTAL,N_GE1,NR,CY	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u
A,DK,TOTAL,N_GE1,NR,CZ	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,DK,TOTAL,N_GE1,NR,DE	1990672 	1656946 	2342399 	1881482 	1909579 	1733186 	1938469 	2713653 	1060487 	1328161 	3132927 	2659583 
A,DK,TOTAL,N_GE1,NR,DK	21406716 	23590042 b	23873536 	24370632 	21742839 	18885602 	11922150 	18931922 	16641318 	13166419 	12156442 	: 
A,DK,TOTAL,N_GE1,NR,EA20	2672815 	2620244 	2980358 	2634151 	2730541 	2683860 	3081947 	3871572 	1341982 	1834566 	4205669 	4024790 
A,DK,TOTAL,N_GE1,NR,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DK,TOTAL,N_GE1,NR,EL	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DK,TOTAL,N_GE1,NR,ES	28623 u	33939 u	: u	74250 bu	68259 u	63945 u	70803 u	101476 u	: u	: u	70659 	104266 
A,DK,TOTAL,N_GE1,NR,EU27_2020	25059817 e	27137550 e	27801596 	27884110 	25294962 	23030449 	16901689 	24820527 	18556919 	15937145 	17722054 	18293730 e
A,DK,TOTAL,N_GE1,NR,FI	227432 b	183420 	154313 u	142389 u	158595 u	266631 	215814 	235072 u	: u	: u	159822 	125837 
A,DK,TOTAL,N_GE1,NR,FR	: u	75717 u	75271 u	102083 u	87316 u	128893 u	140786 u	211911 	: u	: u	102640 	97930 
A,DK,TOTAL,N_GE1,NR,HR	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DK,TOTAL,N_GE1,NR,HU	26679 	10357 u	16139 u	14321 u	13551 u	: u	17791 u	23352 	8466 	8227 	31165 	40959 
A,DK,TOTAL,N_GE1,NR,IE	: u	17974 u	29058 u	61549 u	: u	24082 u	40412 u	43966 u	: u	: 	: u	: u
A,DK,TOTAL,N_GE1,NR,IT	: u	: u	: 	: u	: u	: 	: u	: u	: 	: u	: u	: u
A,DK,TOTAL,N_GE1,NR,LT	40741 	45644 	39388 	59219 	98087 	77123 	78511 	85439 	32822 	28047 	105667 	107533 
A,DK,TOTAL,N_GE1,NR,LU	11297 u	11568 u	18229 	12634 u	10385 u	12378 u	16793 u	21836 	12403 	7995 	13039 	11934 
A,DK,TOTAL,N_GE1,NR,LV	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,DK,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,DK,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,DK,TOTAL,N_GE1,NR,MT	1546 u	2260 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DK,TOTAL,N_GE1,NR,NL	172906 b	195241 	138575 	150540 	214245 	207515 	245027 	243779 	74339 	167590 	327702 	479190 
A,DK,TOTAL,N_GE1,NR,NO	: 	753528 	1127235 	936722 	821161 	742164 	881570 	: 	: 	284422 	: 	: 
A,DK,TOTAL,N_GE1,NR,PL	93913 u	: u	96952 b	95020 	115379 	116839 	125721 	126395 	58615 	64647 	120407 	145197 
A,DK,TOTAL,N_GE1,NR,PT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	14495 	20071 
A,DK,TOTAL,N_GE1,NR,RO	: 	: u	: u	: u	: 	: 	: 	: u	: 	: 	: u	: u
A,DK,TOTAL,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,DK,TOTAL,N_GE1,NR,SE	: 	: 	825544 	760349 	665290 	1332202 	1746069 	1863124 	494400 	856764 	1151998 	: 
A,DK,TOTAL,N_GE1,NR,SI	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DK,TOTAL,N_GE1,NR,SK	: 	: 	: 	: 	: 	: u	: u	: 	: u	: u	: u	: u
A,DK,TOTAL,N_GE1,NR,UK	299357 	322354 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,TOTAL,N_GE1,NR,AL	: 	: 	: 	: 	: 	3613521 	: 	4317025 	2920284 	: 	: 	: 
A,DOM,TOTAL,N_GE1,NR,AT	10961855 	11729815 	11476014 	11087743 	12026916 	11593905 	12410371 	12935677 	10387417 	10756238 	14652513 	14776471 
A,DOM,TOTAL,N_GE1,NR,BE	2778657 	2653282 	2253573 	3246955 	2930427 	3061597 b	3794289 	4116400 	3372721 	5376426 	4622248 	4741919 
A,DOM,TOTAL,N_GE1,NR,BG	3106970 b	3413263 	3170122 	2539380 	2988779 	4704827 	4149976 	3815682 	2303932 	2960691 	3434713 	3717494 
A,DOM,TOTAL,N_GE1,NR,CH	6653495 	7227111 	6525564 	6544539 	6377212 	6795039 	6660947 	6540603 	7202101 	7631117 	7167832 	: 
A,DOM,TOTAL,N_GE1,NR,CY	1369788 b	1303855 	1297214 	1303055 	1374634 	1393032 	1566420 	1636627 	1698743 	1870923 	1689154 	1564359 
A,DOM,TOTAL,N_GE1,NR,CZ	26880529 	25498631 	27042044 	23963745 	27039686 	29039480 	27179148 	27477216 	20691700 	22722445 	26148995 	20300188 
A,DOM,TOTAL,N_GE1,NR,DE	164795239 	161123466 	153901939 	164138592 	164682477 	151175053 	159337582 	160984920 	109295843 	129490949 	135068582 	148587286 
A,DOM,TOTAL,N_GE1,NR,DK	21406716 	23590042 b	23873536 	24370632 	21742839 	18885602 	11922150 	18931922 	16641318 	13166419 	12156442 	: 
A,DOM,TOTAL,N_GE1,NR,EA20	663236582 	641660501 	629260545 	618970109 	634152264 	647023146 	666347453 	660501451 	461861430 	578303886 	625646100 	648093382 
A,DOM,TOTAL,N_GE1,NR,EE	1761052 	1733585 	2572332 	2704379 	3253584 	3276711 	4399062 	3486296 	2135638 	2266531 	2639870 	3231275 
A,DOM,TOTAL,N_GE1,NR,EL	6506654 	4913730 	5621981 	5111088 	4872798 	5492233 	5690818 	5180116 	4447495 	4832849 	5990073 	5891524 
A,DOM,TOTAL,N_GE1,NR,ES	126231754 	122373916 	117619961 	123922962 b	132200905 	138356811 	138937957 	137191009 	74749663 	107727044 	124602722 	130877868 
A,DOM,TOTAL,N_GE1,NR,EU27_2020	818977006 e	795564577 e	780507241 	769598755 	791264523 	812968788 	822079466 	827420229 	608631759 	739491398 	808921340 	829093114 e
A,DOM,TOTAL,N_GE1,NR,FI	30914699 b	30479221 	28844933 	29155853 	29789881 	30162427 	29125765 	29316995 	23341239 	29386551 	27103670 	24014814 
A,DOM,TOTAL,N_GE1,NR,FR	200379660 	199530099 	198929164 	175366181 	172473304 	192363960 	190570732 	186941827 	152200371 	187657385 	202475552 	207536025 
A,DOM,TOTAL,N_GE1,NR,HR	6055907 	6224881 	5410179 	4039589 	2926409 	2976420 	3197253 	3708275 	2510249 	3278070 	3148238 	3629652 
A,DOM,TOTAL,N_GE1,NR,HU	14443023 	11911423 	12583784 	12627043 	11999436 	12116200 	11914741 	11983819 	7496190 	8435129 	10612325 	10862888 
A,DOM,TOTAL,N_GE1,NR,IE	6450242 	6547855 	6885695 	6920667 	7254642 	7575146 	8597288 	9118924 	6085260 	4441076 	10517093 	9724923 
A,DOM,TOTAL,N_GE1,NR,IT	50614621 	40815094 	43516686 b	40676346 	47137014 	45046373 	53850080 	47582528 	29134016 	32361461 	38008674 	35532405 
A,DOM,TOTAL,N_GE1,NR,LT	2515457 	2588650 	2649216 	2663154 	2554103 	2528015 	2640801 	2826940 	2437675 	3089753 	3595009 	3920071 
A,DOM,TOTAL,N_GE1,NR,LU	48213 	55172 	30202 	24906 	19247 	69997 	45453 	35472 	139705 	151346 	165180 	198026 
A,DOM,TOTAL,N_GE1,NR,LV	3796070 	3156196 	3257763 	2972204 	3070273 	2942355 	2583637 	2500924 	1366949 	2392349 	2828190 	2907310 
A,DOM,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	962975 	879093 	: 	: 	: 	: 	: 	: 
A,DOM,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	177331 	211703 	206566 	: 	: 
